"Datum";"-A/XXXX [kW]";"Status";
18.08.2022 00:15;0;namìøená data OK;
18.08.2022 00:30;0;namìøená data OK;
18.08.2022 00:45;0;namìøená data OK;
18.08.2022 01:00;0;namìøená data OK;
18.08.2022 01:15;0;namìøená data OK;
18.08.2022 01:30;0;namìøená data OK;
18.08.2022 01:45;0;namìøená data OK;
18.08.2022 02:00;0;namìøená data OK;
18.08.2022 02:15;0;namìøená data OK;
18.08.2022 02:30;0;namìøená data OK;
18.08.2022 02:45;0;namìøená data OK;
18.08.2022 03:00;0;namìøená data OK;
18.08.2022 03:15;0;namìøená data OK;
18.08.2022 03:30;0;namìøená data OK;
18.08.2022 03:45;0;namìøená data OK;
18.08.2022 04:00;0;namìøená data OK;
18.08.2022 04:15;0;namìøená data OK;
18.08.2022 04:30;0;namìøená data OK;
18.08.2022 04:45;0;namìøená data OK;
18.08.2022 05:00;0;namìøená data OK;
18.08.2022 05:15;0;namìøená data OK;
18.08.2022 05:30;0;namìøená data OK;
18.08.2022 05:45;0;namìøená data OK;
18.08.2022 06:00;0;namìøená data OK;
18.08.2022 06:15;0;namìøená data OK;
18.08.2022 06:30;0;namìøená data OK;
18.08.2022 06:45;0,049;namìøená data OK;
18.08.2022 07:00;0,127;namìøená data OK;
18.08.2022 07:15;0,168;namìøená data OK;
18.08.2022 07:30;0,251;namìøená data OK;
18.08.2022 07:45;0,269;namìøená data OK;
18.08.2022 08:00;0,23;namìøená data OK;
18.08.2022 08:15;0,316;namìøená data OK;
18.08.2022 08:30;0,16;namìøená data OK;
18.08.2022 08:45;0,225;namìøená data OK;
18.08.2022 09:00;1,049;namìøená data OK;
18.08.2022 09:15;0,656;namìøená data OK;
18.08.2022 09:30;2,2;namìøená data OK;
18.08.2022 09:45;1,321;namìøená data OK;
18.08.2022 10:00;2,217;namìøená data OK;
18.08.2022 10:15;1,807;namìøená data OK;
18.08.2022 10:30;3,142;namìøená data OK;
18.08.2022 10:45;3,269;namìøená data OK;
18.08.2022 11:00;3,712;namìøená data OK;
18.08.2022 11:15;4,044;namìøená data OK;
18.08.2022 11:30;3,868;namìøená data OK;
18.08.2022 11:45;4,325;namìøená data OK;
18.08.2022 12:00;2,761;namìøená data OK;
18.08.2022 12:15;0,576;namìøená data OK;
18.08.2022 12:30;3,142;namìøená data OK;
18.08.2022 12:45;4,512;namìøená data OK;
18.08.2022 13:00;5,535;namìøená data OK;
18.08.2022 13:15;5,543;namìøená data OK;
18.08.2022 13:30;5,535;namìøená data OK;
18.08.2022 13:45;5,62;namìøená data OK;
18.08.2022 14:00;3,546;namìøená data OK;
18.08.2022 14:15;3,2;namìøená data OK;
18.08.2022 14:30;1,229;namìøená data OK;
18.08.2022 14:45;4,398;namìøená data OK;
18.08.2022 15:00;4,307;namìøená data OK;
18.08.2022 15:15;2,975;namìøená data OK;
18.08.2022 15:30;2,971;namìøená data OK;
18.08.2022 15:45;4,192;namìøená data OK;
18.08.2022 16:00;3,402;namìøená data OK;
18.08.2022 16:15;2,888;namìøená data OK;
18.08.2022 16:30;4,605;namìøená data OK;
18.08.2022 16:45;1,826;namìøená data OK;
18.08.2022 17:00;0,953;namìøená data OK;
18.08.2022 17:15;0,095;namìøená data OK;
18.08.2022 17:30;0,484;namìøená data OK;
18.08.2022 17:45;0,046;namìøená data OK;
18.08.2022 18:00;0,122;namìøená data OK;
18.08.2022 18:15;0,463;namìøená data OK;
18.08.2022 18:30;0,371;namìøená data OK;
18.08.2022 18:45;0,128;namìøená data OK;
18.08.2022 19:00;0,301;namìøená data OK;
18.08.2022 19:15;0;namìøená data OK;
18.08.2022 19:30;0,005;namìøená data OK;
18.08.2022 19:45;0;namìøená data OK;
18.08.2022 20:00;0;namìøená data OK;
18.08.2022 20:15;0;namìøená data OK;
18.08.2022 20:30;0;namìøená data OK;
18.08.2022 20:45;0;namìøená data OK;
18.08.2022 21:00;0;namìøená data OK;
18.08.2022 21:15;0;namìøená data OK;
18.08.2022 21:30;0;namìøená data OK;
18.08.2022 21:45;0;namìøená data OK;
18.08.2022 22:00;0;namìøená data OK;
18.08.2022 22:15;0;namìøená data OK;
18.08.2022 22:30;0;namìøená data OK;
18.08.2022 22:45;0;namìøená data OK;
18.08.2022 23:00;0;namìøená data OK;
18.08.2022 23:15;0;namìøená data OK;
18.08.2022 23:30;0;namìøená data OK;
18.08.2022 23:45;0;namìøená data OK;
19.08.2022 00:00;0;namìøená data OK;
19.08.2022 00:15;0;namìøená data OK;
19.08.2022 00:30;0;namìøená data OK;
19.08.2022 00:45;0;namìøená data OK;
19.08.2022 01:00;0;namìøená data OK;
19.08.2022 01:15;0;namìøená data OK;
19.08.2022 01:30;0;namìøená data OK;
19.08.2022 01:45;0;namìøená data OK;
19.08.2022 02:00;0;namìøená data OK;
19.08.2022 02:15;0;namìøená data OK;
19.08.2022 02:30;0;namìøená data OK;
19.08.2022 02:45;0;namìøená data OK;
19.08.2022 03:00;0;namìøená data OK;
19.08.2022 03:15;0;namìøená data OK;
19.08.2022 03:30;0;namìøená data OK;
19.08.2022 03:45;0;namìøená data OK;
19.08.2022 04:00;0;namìøená data OK;
19.08.2022 04:15;0;namìøená data OK;
19.08.2022 04:30;0;namìøená data OK;
19.08.2022 04:45;0;namìøená data OK;
19.08.2022 05:00;0;namìøená data OK;
19.08.2022 05:15;0;namìøená data OK;
19.08.2022 05:30;0;namìøená data OK;
19.08.2022 05:45;0;namìøená data OK;
19.08.2022 06:00;0;namìøená data OK;
19.08.2022 06:15;0;namìøená data OK;
19.08.2022 06:30;0;namìøená data OK;
19.08.2022 06:45;0;namìøená data OK;
19.08.2022 07:00;0,198;namìøená data OK;
19.08.2022 07:15;0,24;namìøená data OK;
19.08.2022 07:30;0,283;namìøená data OK;
19.08.2022 07:45;0,092;namìøená data OK;
19.08.2022 08:00;0,232;namìøená data OK;
19.08.2022 08:15;0,348;namìøená data OK;
19.08.2022 08:30;0,316;namìøená data OK;
19.08.2022 08:45;0,487;namìøená data OK;
19.08.2022 09:00;0,304;namìøená data OK;
19.08.2022 09:15;0,307;namìøená data OK;
19.08.2022 09:30;0,542;namìøená data OK;
19.08.2022 09:45;2,586;namìøená data OK;
19.08.2022 10:00;2,69;namìøená data OK;
19.08.2022 10:15;2,137;namìøená data OK;
19.08.2022 10:30;1,925;namìøená data OK;
19.08.2022 10:45;0,59;namìøená data OK;
19.08.2022 11:00;0,832;namìøená data OK;
19.08.2022 11:15;0,797;namìøená data OK;
19.08.2022 11:30;2,386;namìøená data OK;
19.08.2022 11:45;1,842;namìøená data OK;
19.08.2022 12:00;0,472;namìøená data OK;
19.08.2022 12:15;1,156;namìøená data OK;
19.08.2022 12:30;1,43;namìøená data OK;
19.08.2022 12:45;0,456;namìøená data OK;
19.08.2022 13:00;0,517;namìøená data OK;
19.08.2022 13:15;0,049;namìøená data OK;
19.08.2022 13:30;0,167;namìøená data OK;
19.08.2022 13:45;2,057;namìøená data OK;
19.08.2022 14:00;3,864;namìøená data OK;
19.08.2022 14:15;3,638;namìøená data OK;
19.08.2022 14:30;0,756;namìøená data OK;
19.08.2022 14:45;0,182;namìøená data OK;
19.08.2022 15:00;0,223;namìøená data OK;
19.08.2022 15:15;0,262;namìøená data OK;
19.08.2022 15:30;0,467;namìøená data OK;
19.08.2022 15:45;0,166;namìøená data OK;
19.08.2022 16:00;0,039;namìøená data OK;
19.08.2022 16:15;0,123;namìøená data OK;
19.08.2022 16:30;0,28;namìøená data OK;
19.08.2022 16:45;0,326;namìøená data OK;
19.08.2022 17:00;0,064;namìøená data OK;
19.08.2022 17:15;0,13;namìøená data OK;
19.08.2022 17:30;0,118;namìøená data OK;
19.08.2022 17:45;0,076;namìøená data OK;
19.08.2022 18:00;0,174;namìøená data OK;
19.08.2022 18:15;0,335;namìøená data OK;
19.08.2022 18:30;0,162;namìøená data OK;
19.08.2022 18:45;0,119;namìøená data OK;
19.08.2022 19:00;0,069;namìøená data OK;
19.08.2022 19:15;0,134;namìøená data OK;
19.08.2022 19:30;0,053;namìøená data OK;
19.08.2022 19:45;0,022;namìøená data OK;
19.08.2022 20:00;0,026;namìøená data OK;
19.08.2022 20:15;0,012;namìøená data OK;
19.08.2022 20:30;0;namìøená data OK;
19.08.2022 20:45;0,002;namìøená data OK;
19.08.2022 21:00;0,004;namìøená data OK;
19.08.2022 21:15;0,006;namìøená data OK;
19.08.2022 21:30;0,002;namìøená data OK;
19.08.2022 21:45;0;namìøená data OK;
19.08.2022 22:00;0;namìøená data OK;
19.08.2022 22:15;0,004;namìøená data OK;
19.08.2022 22:30;0,026;namìøená data OK;
19.08.2022 22:45;0,012;namìøená data OK;
19.08.2022 23:00;0;namìøená data OK;
19.08.2022 23:15;0,003;namìøená data OK;
19.08.2022 23:30;0,011;namìøená data OK;
19.08.2022 23:45;0,022;namìøená data OK;